"Date";"Amount";"Original amount";"Original currency";"Exchange rate";"Description";"Subject";"Category";"Tags";"Wise";"Spaces"
"2026-01-07";"-12.97";"-5300.00";"HUF";"408.63531";"Majoros Aniko";;"uncategorized";"";"no";"no"
"2026-01-07";"-17.86";"-7300.00";"HUF";"408.73460";"ANNA FU:RDO\" PE'NZTA'R";;"uncategorized";"";"no";"no"
"2026-01-06";"-11.39";"-4650.00";"HUF";"408.25285";"Tesco";;"household";"";"no";"no"
"2026-01-05";"-6.25";"-2555.00";"HUF";"408.80000";"Coop";;"household";"";"no";"no"
"2026-01-05";"-79.23";"-32385.00";"HUF";"408.74669";"BARIONP*TAXATEAMBill";;"uncategorized";"";"no";"no"
"2026-01-05";"-12.13";"-4958.00";"HUF";"408.73866";"HELOPAY*DUNA DONER SZ";;"food";"";"no";"no"
"2026-01-04";"-11.25";"-4600.00";"HUF";"408.88889";"VA'ROSI SPORTUSZODA";;"uncategorized";"";"no";"no"
"2026-01-04";"-6.66";"-2723.00";"HUF";"408.85886";"Tesco";;"household";"";"no";"no"
"2026-01-04";"-6.04";"-2470.00";"HUF";"408.94040";"VASAS SZENT PE'TER GY.";;"uncategorized";"";"no";"no"
"2026-01-04";"-67.33";"-27522.00";"HUF";"408.76281";"Tesco";;"household";"";"no";"no"
"2026-01-03";"-0.02";"-10.00";"HUF";"500.00000";"Tesco";;"household";"";"no";"no"
"2026-01-03";"-3.67";"-1500.00";"HUF";"408.71935";"GYU:MI VENDE'GLO\"";;"uncategorized";"";"no";"no"
"2026-01-03";"-7.56";"-3090.00";"HUF";"408.73016";"SIMPLEP*KULCS.HVG.HU";;"uncategorized";"";"no";"no"
"2026-01-02";"-7.31";"-2990.00";"HUF";"409.02873";"McDonald's";;"food";"";"no";"no"
"2026-01-02";"-101.73";"-41665.00";"HUF";"409.56453";"BARIONP*TISZAPART";;"uncategorized";"";"no";"no"
"2026-01-02";"-3.88";"-1590.00";"HUF";"409.79381";"McDonald's";;"food";"";"no";"no"
"2026-01-02";"-144.55";"-59200.00";"HUF";"409.54687";"SIMPLEP*M?V";;"uncategorized";"";"no";"no"
"2026-01-01";"-18.00";"";"";"";"Digital Republic";;"housing";"";"no";"no"
"2026-01-01";"-52.62";"-21550.00";"HUF";"409.54010";"OMV Tankstelle";;"transport";"";"no";"no"
